schemaname,tablename,indexname,indexdef
public,states,states_state_code_key,CREATE UNIQUE INDEX states_state_code_key ON public.states USING btree (state_code)
public,user_badges,idx_user_badges_user_id,CREATE INDEX idx_user_badges_user_id ON public.user_badges USING btree (user_id)
public,user_badges,user_badges_pkey,"CREATE UNIQUE INDEX user_badges_pkey ON public.user_badges USING btree (user_id, badge_id)"
public,user_badges,user_badges_user_badge_unique,"CREATE UNIQUE INDEX user_badges_user_badge_unique ON public.user_badges USING btree (user_id, badge_id)"
public,user_badges,user_badges_user_badge_unique_idx,"CREATE UNIQUE INDEX user_badges_user_badge_unique_idx ON public.user_badges USING btree (user_id, badge_id)"
public,user_badges,user_badges_user_id_badge_id_key,"CREATE UNIQUE INDEX user_badges_user_id_badge_id_key ON public.user_badges USING btree (user_id, badge_id)"
public,user_blocks,user_blocks_blocked_idx,"CREATE INDEX user_blocks_blocked_idx ON public.user_blocks USING btree (blocked_id, created_at DESC)"
public,user_blocks,user_blocks_pkey,"CREATE UNIQUE INDEX user_blocks_pkey ON public.user_blocks USING btree (blocker_id, blocked_id)"
public,user_contactus,user_contactus_pkey,CREATE UNIQUE INDEX user_contactus_pkey ON public.user_contactus USING btree (id)
public,user_events,user_events_anonymous_time_idx,"CREATE INDEX user_events_anonymous_time_idx ON public.user_events USING btree (anonymous_id, occurred_at DESC) WHERE (anonymous_id IS NOT NULL)"
public,user_events,user_events_crawl_time_idx,"CREATE INDEX user_events_crawl_time_idx ON public.user_events USING btree (crawl_id, occurred_at DESC) WHERE (crawl_id IS NOT NULL)"
public,user_events,user_events_destination_time_idx,"CREATE INDEX user_events_destination_time_idx ON public.user_events USING btree (destination_id, occurred_at DESC) WHERE (destination_id IS NOT NULL)"
public,user_events,user_events_event_time_idx,"CREATE INDEX user_events_event_time_idx ON public.user_events USING btree (event_name, occurred_at DESC)"
public,user_events,user_events_metadata_gin_idx,CREATE INDEX user_events_metadata_gin_idx ON public.user_events USING gin (metadata)
public,user_events,user_events_occurred_at_idx,CREATE INDEX user_events_occurred_at_idx ON public.user_events USING btree (occurred_at DESC)
public,user_events,user_events_pkey,CREATE UNIQUE INDEX user_events_pkey ON public.user_events USING btree (id)
public,user_events,user_events_route_time_idx,"CREATE INDEX user_events_route_time_idx ON public.user_events USING btree (route_id, occurred_at DESC) WHERE (route_id IS NOT NULL)"
public,user_events,user_events_screen_time_idx,"CREATE INDEX user_events_screen_time_idx ON public.user_events USING btree (screen, occurred_at DESC) WHERE (screen IS NOT NULL)"
public,user_events,user_events_session_time_idx,"CREATE INDEX user_events_session_time_idx ON public.user_events USING btree (session_id, occurred_at)"
public,user_events,user_events_state_time_idx,"CREATE INDEX user_events_state_time_idx ON public.user_events USING btree (state_id, occurred_at DESC) WHERE (state_id IS NOT NULL)"
public,user_events,user_events_user_time_idx,"CREATE INDEX user_events_user_time_idx ON public.user_events USING btree (user_id, occurred_at DESC) WHERE (user_id IS NOT NULL)"
public,user_feedback,user_feedback_pkey,CREATE UNIQUE INDEX user_feedback_pkey ON public.user_feedback USING btree (id)
public,user_meta,user_meta_pkey,CREATE UNIQUE INDEX user_meta_pkey ON public.user_meta USING btree (user_id)
public,user_preferences,user_preferences_pkey,CREATE UNIQUE INDEX user_preferences_pkey ON public.user_preferences USING btree (user_id)
public,user_wing_battle_votes,user_wing_battle_votes_battle_idx,CREATE INDEX user_wing_battle_votes_battle_idx ON public.user_wing_battle_votes USING btree (battle_id)
public,user_wing_battle_votes,user_wing_battle_votes_pkey,"CREATE UNIQUE INDEX user_wing_battle_votes_pkey ON public.user_wing_battle_votes USING btree (user_id, battle_id)"
